id,handle,title,published,body_html_uk,body_html_en
bcb4a9c6-dcfd-4924-8206-7a2a4f8caacf,baska-linea,Баска Linea,true,"<p><span>Баска виступає виразним декоративним елементом.</span></p>
<p><span>Виконана з поєднання сітки з мереживом «маки» та щільної білої тканини, вона формує графічний контур і динамічні клини, що подовжують силует. <br></span><span>Зав’язується ззаду на оксамитову зав’язку, регулюючи посадку.<span class=""Apple-converted-space""> </span></span></p>
<p><span>Баска є самостійним елементом, який легко інтегрується в інші образи.</span></p>","<p><span>The basque serves as a striking decorative element.</span></p>
<p><span>Crafted from a combination of mesh with ""poppy"" lace and dense white fabric, it forms a graphic contour and dynamic wedges that elongate the silhouette. <br></span><span>It ties at the back with a velvet ribbon, allowing for an adjustable fit.<span class=""Apple-converted-space""> </span></span></p>
<p><span>The basque is a standalone piece that effortlessly integrates into other looks.</span></p>"
ee4d67cb-6d70-4804-882f-1ddd7df51376,manizhka-noir-grapevine,Маніжка Noir Grapevine,true,"<p><span>Розкішна вишита маніжка, оздоблена вручну срібно-золотавим бісером і камінням, у вигляді витончені лози та виноградних грон, що мерехтять на темному тлі.</span></p>
<p><span>Декорована преміальним мереживом.</span></p>","<p><span>A luxurious embroidered detachable collar, embellished by hand with silver-gold beads and stones, forming graceful vines and shimmering grape clusters against a dark background.</span></p>
<p><span>Decorated with premium lace.</span></p>"
b3df053a-a80c-41dc-880b-1d14a7ce3f83,suknya-skarlet,Сукня Skarlet,true,"<p><span>Витончена сукня складної конструкції, що поєднує в собі архітектурність форми та художню виразність деталей. </span></p>
<p><span>Верхня частина виконана у вигляді корсетної основи з оксамиту. <br></span><span>Серцеподібна лінія декольте м’яко підкреслює зону грудей, формуючи жіночний силует. <br></span>Корсет має внутрішню конструкцію з кісточками, що фіксують форму та акцентують талію, створюючи витончені пропорції. <br><span>Посадка ідеально вивірена — виріб щільно прилягає до фігури, підкреслюючи її природну пластику. <br><br></span>Нижня частина сукні виконана з напівпрозорої органзи з легким матовим відблиском. <br><span>Спідниця розширюється донизу, утворюючи м’який шлейф і додаючи образу драматичності та руху. <br></span>Лінія колін декорована маками ручної роботи, які делікатно нашиваються на виріб, створюючи об’ємний художній акцент. <br><span>Кожен елемент виконаний з увагою до деталей, що додає образу унікальності, глибини та відчуття кутюрної ручної праці.</span></p>","<p><span>A refined dress of complex construction, blending architectural form with the artistic expression of its details. </span></p>
<p><span>The upper part features a corset base made of premium velvet. <br></span><span>The sweetheart neckline softly accentuates the bust, shaping a feminine silhouette. <br></span>The corset features an internal boning structure that secures the shape and highlights the waist, creating exquisite proportions. <br><span>The fit is meticulously tailored — the garment closely hugs the figure, emphasizing its natural plasticity. <br><br></span>The lower part of the dress is crafted from translucent organza with a subtle matte finish. <br><span>The skirt flares towards the hemline, forming a soft train and adding drama and movement to the look. <br></span>The knee line is decorated with handcrafted poppies, delicately sewn onto the garment to create a voluminous artistic accent. <br><span>Every element is executed with profound attention to detail, adding uniqueness, depth, and a sense of true bespoke craftsmanship to the look.</span></p>"
df5b3303-a57c-499d-8947-cf204c6828cc,korset-poppy-elegance,Корсет Linea,true,"<p><span>Архітектурний корсет із чітко вибудуваною конструкцією, виконаний із глибокого чорного оксамиту у поєднанні з фактурною сіткою та мереживом із мотивами маків. <br></span><span>Модель формує скульптурний силует, підкреслює талію та вибудовує витончену геометрію фігури. <br></span><span>М’яка лінія декольте переходить у напівпрозорі вставки з мереживом, створюючи ефект багатошаровості та глибини. <br></span><span>Внутрішня система кісточок забезпечує ідеальну посадку, а vertical вставка в центрі візуально витягує силует. <br></span><span>Застібка по спинці — акцентна блискавка.</span></p>","<p><span>An architectural corset with a precisely tailored construction, crafted from deep black velvet combined with textured mesh and poppy motif lace. <br></span><span>The model shapes a sculptural silhouette, accentuates the waist, and builds refined body geometry. <br></span><span>The soft neckline transitions into translucent lace inserts, creating a multilayered effect with striking depth. <br></span><span>An internal boning system ensures a flawless fit, while a vertical center panel visually elongates the silhouette. <br></span><span>Finished with an accent zipper fastening at the back.</span></p>"
eaedfefd-3cbd-4e23-8e18-667a64e2b682,spidnytsya-velour-poetry,Спідниця Velour Poetry,true,"<p><span>Спідниця приталеного крою, з високою посадкою, підкреслює талію та подовжує фігуру, а розріз додає легкості та динаміки руху.</span></p>
<p><span>Головний акцент — об’ємні маки, створені вручну. Кожна квітка є результатом кропіткої, тривалої роботи, що надає виробу унікальності та глибини. Вони формують емоційний центр образу, додаючи йому ритму, об’єму та художньої виразності.</span></p>","<p><span>A fitted skirt with a high waistline that accentuates the figure and elongates the silhouette, while the slit adds lightness and dynamic movement.</span></p>
<p><span>The main accent lies in the voluminous, handcrafted poppies. Every flower is the result of meticulous, time-intensive artisanship, granting the garment unmatched uniqueness and depth. They form the emotional centerpiece of the look, adding rhythm, volume, and artistic expression.</span></p>"
93f4a859-0cce-4f02-a7e6-943e41fa3565,spidnytsya-petal-grace,Спідниця Petal Grace,true,"<p>Спідниця-шестиклинка, виконана з костюмної тканини, м’яко облягає стегна та плавно розкльошується донизу, формуючи елегантний, витягнутий силует. Нижня частина декорована вставкою з фактурного мережива, що додає легкості та витонченої прозорості в русі.</p>","<p>A six-gore skirt, crafted from suiting fabric, softly skims the hips and smoothly flares towards the hem, forming an elegant, elongated silhouette. The lower section is decorated with a textured lace insert, adding lightness and refined transparency in movement.</p>"
7eb8ea46-329d-43ad-aba2-ffc0e351886a,pidzhak-korset-petal-grace,Піджак-корсет Petal Grace,true,"<p><span>Піджак-корсет на чашках із костюмної тканини виконаний у формі корсета. </span><br><span>Рельєфи та вставлені кісточки підкреслюють талію і формують чіткий, витончений силует. <br></span><span>Від лінії талії виріб переходить у баску зі складками, що додає образу жіночності та динаміки. <br></span><span>Особлива увага зосереджена на декольте, оздобленому об’ємними маками ручної роботи. Кожна квітка ретельно сформована вручну, передаючи природну пластику пелюсток, глибину кольору та живу емоцію. </span><br><span>Ця клопітка ручна робота додає виробу відчуття розкоші та підкреслює його виразний дизайнерський характер. </span><br><span>Об’ємні рукави з м’якою посадкою по окату делікатно підкреслюють лінію плечей, створюючи баланс між структурою корсета та пластикою форми. </span><br><span>Довгий рукав звужується донизу, завершуючись акуратною лінією манжета. </span><br><span>Застібка розташована по спинці.</span></p>","<p><span>A cupped corset jacket crafted from suiting fabric, designed in a structured corset shape. </span><br><span>Princess seams and inserted boning accentuate the waist, forming a sharp, refined silhouette. <br></span><span>From the waistline, the garment transitions into a pleated basque, adding femininity and dynamics to the look. <br></span><span>Special attention is drawn to the décolleté, adorned with voluminous handcrafted poppies. Each flower is meticulously shaped by hand, capturing the natural plasticity of petals, depth of color, and vivid emotion. </span><br><span>This painstaking handcrafting bestows the garment with a sense of luxury and emphasizes its distinctive designer character. </span><br><span>Voluminous sleeves with a soft fit at the crown delicately highlight the shoulder line, striking a balance between the corset's structure and the form's fluidity. </span><br><span>The long sleeves taper towards the bottom, finishing with a neat cuff line. </span><br><span>The fastening is located at the back.</span></p>"
f21be684-1727-4bbe-9d8c-8a3d996fdac1,shtany-power,Штани Power,true,"<p><span>Штани виконані з костюмної тканини, мають чітку конструкцію та архітектурний крій. <br></span><span>Бічні “бочки”, виконані з оксамиту, разом із рельєфами формують об’єм і надають силуету виразності, зберігаючи стриману елегантність. <br></span><span>Модель прилягає по фігурі та звужується донизу, створюючи витончений силует і баланс між класичною строгістю та сучасною формою.</span></p>","<p><span>Crafted from suiting fabric, these trousers feature a sharp construction and architectural cut. <br></span><span>The velvet side panels, combined with princess seams, create volume and lend expressiveness to the silhouette while maintaining understated elegance. <br></span><span>The model offers a fitted silhouette that tapers towards the bottom, striking a perfect balance between classic austerity and modern form.</span></p>"
ef0fd2d2-2fbc-43c7-90b7-41a4f793d297,pidzhak-axis,Піджак Axis,true,"<p><span>Вкорочений піджак виконаний із костюмної тканини, має чітко сформовану лінію плеча та лаконічний силует. <br></span><span>Обʼємні рукави з мʼяким округлення формують виразну геометрію та додають образу характеру. <br></span><span>Подовжений фігурний комір виконаний із сатину та оздоблений мереживом зверху, що надає виробу делікатності й витонченості.</span></p>","<p><span>A cropped jacket crafted from suiting fabric, featuring a sharply defined shoulder line and a sleek silhouette. <br></span><span>Voluminous sleeves with gentle rounding create bold geometry and add character to the look. <br></span><span>The elongated shaped collar is made of satin and trimmed with lace at the top, lending the garment a touch of delicacy and refinement.</span></p>"
dc10f2f8-ebc4-41e2-922d-4930d34c4ec0,spidnytsya-weal,Спідниця Weal,true,"<p><span>Спідниця</span><span> прямого силуету виконана з сатинової тканини в авторський принт«Маки». <br></span></p>
<p><span>Конструктивною особливістю є виражені бочки, які формують архітектурний об’єм у зоні стегон, підкреслюючи талію та додаючи силуету виразності. Оксамитові вставки делікатно перегукуються з фактурою корсету, об’єднуючи образ у цілісну композицію.<span class=""Apple-converted-space""> </span></span></p>
<p><span>Застібка — потаємна блискавка позаду.</span></p>","<p><span>A straight-silhouette </span><span>skirt</span><span> crafted from satin fabric featuring the signature ""Poppies"" print. <br></span></p>
<p><span>A key structural feature is the pronounced side panels, which form architectural volume around the hips, accentuating the waist and adding expressiveness to the silhouette. Velvet inserts delicately echo the texture of the corset, uniting the look into a cohesive composition.<span class=""Apple-converted-space""> </span></span></p>
<p><span>Fastens with a concealed zipper at the back.</span></p>"
